report_date,model,prediction_method,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,mape,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
2026-06-21,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,54473.04,54923.27529893847,2269.71,60.922944563649715,67.73263193986398,0.02684173068966948,0.026605237559184185,18.759804122436236,0.008265286808639093
2026-06-22,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,68091.12,72092.24568808466,2837.1299999999997,166.71357033686044,196.45060099799727,0.05876134344808326,0.05823329793146557,166.71357033686044,0.05876134344808326
2026-06-23,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,67353.84,71701.49338660539,2806.41,213.66878179987927,280.10739671368765,0.07613598219785393,0.06814115024296523,181.15222444189143,0.06454945087919849
2026-06-24,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,64650.240000000005,70449.1806013915,2693.76,246.84731699789282,314.592831871375,0.09163671485132038,0.08361682485982279,241.62252505797892,0.0896971241157263
2026-06-25,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,65184.48,68269.71033463826,2716.02,145.00986986090044,173.3681990239562,0.05339057512864428,0.05529586702392189,128.55126394326086,0.04733075012086099
2026-06-26,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,66669.12,66294.1288971671,2777.8799999999997,95.94059676435273,136.9994773428087,0.0345373438609129,0.03251207931839393,-15.624629284703795,-0.005624659555021742
2026-06-27,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,55036.08,55741.9799195856,2293.17,82.89139576655761,110.16145231144924,0.03614707839652429,0.035304132807983946,29.412496649400282,0.012826130051152022
2026-06-28,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,52074.72,51798.714715379174,2169.78,61.557104501748675,69.11000917471793,0.02837020550551147,0.028550340154293332,-11.500220192534263,-0.0053001779869545585
2026-06-29,lightgbm_school_hourly_day_ahead_weather_academic,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,pred_lightgbm_school_hourly_day_ahead_weather_academic_kwh,24,69852.96,66239.04925618571,2910.5400000000004,159.98026083904287,195.5229340534123,0.05496583480695776,0.051868264917925434,-150.5796143255956,-0.05173597144364812
2026-06-01,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,83738.16,81498.4422682275,3489.09,145.31724693757727,206.1537396323734,0.04164903941646024,0.04832773491292828,-93.32157215718773,-0.026746679551742064
2026-06-02,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,80763.84,82388.67649812408,3365.16,99.44251836986815,122.19634936618317,0.029550606321799903,0.02741325232060138,67.70152075516995,0.020118366067340025
2026-06-03,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,62477.28,65256.52437081169,2603.22,139.03716568140302,182.92351113558072,0.05340968711111739,0.05345913178104955,115.80184878382018,0.04448408078603429
2026-06-04,lightgbm_school_hourly_operational,pred_lightgbm_school_hourly_operational_kwh,pred_lightgbm_school_hourly_operational_kwh,24,85636.08,83520.42317260231,3568.17,97.01429264140414,137.90600018660146,0.027188809008932908,0.026132578846929322,-88.15236780823676,-0.024705204014449075
