building_name_recent,model,prediction_method,prediction_column,n_rows,actual_sum_kwh,pred_sum_kwh,mean_actual_kwh,mae_kwh,rmse_kwh,wape,nmae,bias_kwh_mean_pred_minus_actual,bias_pct_sum_pred_minus_actual
상경관,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,145964.0,143060.0,2085.2,415.8,612.3965335350244,0.19940533282179168,0.1994053328217917,-41.48571428571429,-0.019895316653421393
생활과학대,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,77614.0,77109.0,1108.7714285714285,169.21428571428572,223.00643808771852,0.15261421908418585,0.15261421908418585,-7.214285714285714,-0.006506558095189012
섬유관,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,76228.0,77257.0,1088.9714285714285,111.38571428571429,149.5798401236897,0.10228524951461405,0.10228524951461405,14.7,0.01349897675394868
외국어교육원,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,30950.0,32139.0,442.14285714285717,69.67142857142858,114.33990679423474,0.1575767366720517,0.15757673667205171,16.985714285714284,0.038416801292407106
음대,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,42136.0,42541.0,601.9428571428572,64.7,85.26437876226089,0.10748528574140877,0.10748528574140877,5.785714285714286,0.009611733434592748
인문계식당,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,28526.0,27164.0,407.51428571428573,84.42857142857143,130.34065257733565,0.20717941527027975,0.20717941527027975,-19.457142857142856,-0.047745916006450256
전기관,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,78682.33333333334,79408.33333333334,1124.0333333333335,172.53015873015875,234.19824957889867,0.15349203054194008,0.15349203054194008,10.371428571428572,0.009226975983596486
제1공장형실습장,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,55797.0,54565.0,797.1,98.28571428571429,132.24609094951944,0.12330412029320573,0.12330412029320573,-17.6,-0.022080040145527537
제1과학관,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,183967.68181818182,185390.0,2628.10974025974,281.0045454545455,441.1211794425365,0.10692268330727063,0.10692268330727064,20.31883116883117,0.007731348070276178
제2공장형실습장,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,29283.0,29662.0,418.3285714285714,107.21428571428571,151.60837707725784,0.25629204657992694,0.25629204657992694,5.414285714285715,0.01294266297851996
제2인문관,naive_last_week_same_weekday,pred_naive_last_week_same_weekday_kwh,pred_naive_last_week_same_weekday_kwh,70,17786.0,17921.0,254.0857142857143,34.75714285714286,50.900042099337064,0.13679298324524908,0.13679298324524908,1.9285714285714286,0.007590239514224671
