timestamp,report_date,hour,rank,feature,feature_label_ko,shap_value_kwh,feature_value,direction
2026-06-04 14:00:00,2026-06-04,14,5,weather_temp_min_c,최저기온,-85.6606613908982,18.0,down
2026-06-04 15:00:00,2026-06-04,15,1,school_lag_168h_kwh,1주 전 같은시간 사용량,343.3108753017002,4880.88,up
2026-06-04 15:00:00,2026-06-04,15,2,school_lag_24h_kwh,24시간 전 사용량,-304.2581303730777,3035.52,down
2026-06-04 15:00:00,2026-06-04,15,3,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,133.7739132972358,4012.2514285714287,up
2026-06-04 15:00:00,2026-06-04,15,4,hour_cos,시간 주기(cos),118.53509478806667,-0.7071067811865479,up
2026-06-04 15:00:00,2026-06-04,15,5,weather_temp_min_c,최저기온,-82.14019132654616,18.0,down
2026-06-04 16:00:00,2026-06-04,16,1,school_lag_24h_kwh,24시간 전 사용량,-338.0713379773014,3056.4,down
2026-06-04 16:00:00,2026-06-04,16,2,school_lag_168h_kwh,1주 전 같은시간 사용량,330.64152829645485,4591.44,up
2026-06-04 16:00:00,2026-06-04,16,3,weather_temp_min_c,최저기온,-75.20956844009707,18.0,down
2026-06-04 16:00:00,2026-06-04,16,4,weather_temp_max_c,최고기온,-57.05367792047683,27.0,down
2026-06-04 16:00:00,2026-06-04,16,5,weather_temp_mean_c,평균기온,-54.32530346607311,23.0,down
2026-06-04 17:00:00,2026-06-04,17,1,school_lag_24h_kwh,24시간 전 사용량,-363.210140160127,2998.08,down
2026-06-04 17:00:00,2026-06-04,17,2,school_lag_168h_kwh,1주 전 같은시간 사용량,307.60533441948706,4211.28,up
2026-06-04 17:00:00,2026-06-04,17,3,weather_temp_min_c,최저기온,-63.34364923709499,18.0,down
2026-06-04 17:00:00,2026-06-04,17,4,day_of_week,요일,-61.35494036475816,3.0,down
2026-06-04 17:00:00,2026-06-04,17,5,academic_days_to_final,기말까지 일수,59.1547981413353,11.0,up
2026-06-04 18:00:00,2026-06-04,18,1,school_lag_24h_kwh,24시간 전 사용량,-395.22639303426655,2836.8,down
2026-06-04 18:00:00,2026-06-04,18,2,school_lag_168h_kwh,1주 전 같은시간 사용량,245.90051938207392,3476.16,up
2026-06-04 18:00:00,2026-06-04,18,3,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-68.59418144050392,3164.7085714285713,down
2026-06-04 18:00:00,2026-06-04,18,4,weather_temp_min_c,최저기온,-56.58352513943403,18.0,down
2026-06-04 18:00:00,2026-06-04,18,5,academic_days_to_final,기말까지 일수,55.745750858963,11.0,up
2026-06-04 19:00:00,2026-06-04,19,1,school_lag_24h_kwh,24시간 전 사용량,-398.54458105023383,2854.8,down
2026-06-04 19:00:00,2026-06-04,19,2,school_lag_168h_kwh,1주 전 같은시간 사용량,234.2810364252908,3279.6,up
2026-06-04 19:00:00,2026-06-04,19,3,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-93.28419284736084,3070.0799999999995,down
2026-06-04 19:00:00,2026-06-04,19,4,weather_temp_min_c,최저기온,-51.80355697048358,18.0,down
2026-06-04 19:00:00,2026-06-04,19,5,academic_days_to_final,기말까지 일수,49.21565413544116,11.0,up
2026-06-04 20:00:00,2026-06-04,20,1,school_lag_24h_kwh,24시간 전 사용량,-234.01175018623312,2880.72,down
2026-06-04 20:00:00,2026-06-04,20,2,school_lag_168h_kwh,1주 전 같은시간 사용량,-144.15587516440155,3055.68,down
2026-06-04 20:00:00,2026-06-04,20,3,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-83.81128880108966,2926.3885714285716,down
2026-06-04 20:00:00,2026-06-04,20,4,hour_cos,시간 주기(cos),-50.24782763303177,0.5000000000000001,down
2026-06-04 20:00:00,2026-06-04,20,5,weather_temp_mean_c,평균기온,-46.90679769123724,23.0,down
2026-06-04 21:00:00,2026-06-04,21,1,school_lag_168h_kwh,1주 전 같은시간 사용량,-244.09317933214874,2803.68,down
2026-06-04 21:00:00,2026-06-04,21,2,school_lag_24h_kwh,24시간 전 사용량,-211.24074193253816,2854.08,down
2026-06-04 21:00:00,2026-06-04,21,3,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-78.74447247707391,2749.0628571428574,down
2026-06-04 21:00:00,2026-06-04,21,4,hour_cos,시간 주기(cos),-52.60122143009652,0.7071067811865474,down
2026-06-04 21:00:00,2026-06-04,21,5,weather_temp_mean_c,평균기온,-52.34687795359268,23.0,down
2026-06-04 22:00:00,2026-06-04,22,1,school_lag_168h_kwh,1주 전 같은시간 사용량,-330.6738036123286,2625.12,down
2026-06-04 22:00:00,2026-06-04,22,2,school_lag_24h_kwh,24시간 전 사용량,-261.99518392156864,2655.36,down
2026-06-04 22:00:00,2026-06-04,22,3,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-122.76630691443036,2563.405714285714,down
2026-06-04 22:00:00,2026-06-04,22,4,hour_cos,시간 주기(cos),-51.33630558520073,0.8660254037844384,down
2026-06-04 22:00:00,2026-06-04,22,5,weather_temp_mean_c,평균기온,-40.15440249128328,23.0,down
2026-06-05 08:00:00,2026-06-05,8,1,school_lag_168h_kwh,1주 전 같은시간 사용량,-199.58771018280805,2880.72,down
2026-06-05 08:00:00,2026-06-05,8,2,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-96.32195980399447,2706.5828571428574,down
2026-06-05 08:00:00,2026-06-05,8,3,day_of_week,요일,-66.88698071230635,4.0,down
2026-06-05 08:00:00,2026-06-05,8,4,weather_temp_mean_c,평균기온,-63.54873478771013,23.0,down
2026-06-05 08:00:00,2026-06-05,8,5,weather_temp_max_c,최고기온,-47.387206349964174,27.0,down
2026-06-05 11:00:00,2026-06-05,11,1,school_lag_24h_kwh,24시간 전 사용량,622.4784244618189,4889.52,up
2026-06-05 11:00:00,2026-06-05,11,2,school_lag_168h_kwh,1주 전 같은시간 사용량,452.93813051510836,4004.64,up
2026-06-05 11:00:00,2026-06-05,11,3,day_of_week,요일,-85.21997909159246,4.0,down
2026-06-05 11:00:00,2026-06-05,11,4,dow_sin,요일 주기(sin),75.72627819709871,-0.433883739117558,up
2026-06-05 11:00:00,2026-06-05,11,5,weather_temp_mean_c,평균기온,-61.37000065391087,23.0,down
2026-06-10 08:00:00,2026-06-10,8,1,school_lag_168h_kwh,1주 전 같은시간 사용량,-383.1817654477517,2230.56,down
2026-06-10 08:00:00,2026-06-10,8,2,day_of_week,요일,111.19439088577859,2.0,up
2026-06-10 08:00:00,2026-06-10,8,3,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-92.11301989777185,2739.0857142857144,down
2026-06-10 08:00:00,2026-06-10,8,4,school_lag_24h_kwh,24시간 전 사용량,-55.48492009940757,2930.4,down
2026-06-10 08:00:00,2026-06-10,8,5,weather_temp_mean_c,평균기온,-48.48020577622847,22.0,down
2026-06-12 17:00:00,2026-06-12,17,1,school_lag_168h_kwh,1주 전 같은시간 사용량,367.3240369066357,3975.84,up
2026-06-12 17:00:00,2026-06-12,17,2,day_of_week,요일,-87.4017937425796,4.0,down
2026-06-12 17:00:00,2026-06-12,17,3,school_lag_24h_kwh,24시간 전 사용량,80.61230604713404,3951.36,up
2026-06-12 17:00:00,2026-06-12,17,4,weather_temp_mean_c,평균기온,-52.83273171884714,23.25,down
2026-06-12 17:00:00,2026-06-12,17,5,academic_days_to_final,기말까지 일수,52.27061745989993,3.0,up
2026-06-12 18:00:00,2026-06-12,18,1,school_lag_168h_kwh,1주 전 같은시간 사용량,223.26919502962429,3494.88,up
2026-06-12 18:00:00,2026-06-12,18,2,school_lag_24h_kwh,24시간 전 사용량,-144.65571680936935,3460.32,down
2026-06-12 18:00:00,2026-06-12,18,3,day_of_week,요일,-88.0218998593897,4.0,down
2026-06-12 18:00:00,2026-06-12,18,4,academic_days_to_final,기말까지 일수,64.53538452863336,3.0,up
2026-06-12 18:00:00,2026-06-12,18,5,weather_temp_mean_c,평균기온,-43.62204321851606,23.25,down
2026-06-13 19:00:00,2026-06-13,19,1,school_lag_168h_kwh,1주 전 같은시간 사용량,-317.852964425898,2644.56,down
2026-06-13 19:00:00,2026-06-13,19,2,day_of_week,요일,-165.16048053973952,5.0,down
2026-06-13 19:00:00,2026-06-13,19,3,dow_sin,요일 주기(sin),-154.1510114863761,-0.9749279121818236,down
2026-06-13 19:00:00,2026-06-13,19,4,school_lag_24h_kwh,24시간 전 사용량,93.02354663667846,3266.64,up
2026-06-13 19:00:00,2026-06-13,19,5,weather_temp_max_c,최고기온,-55.11504778112309,29.0,down
2026-06-13 20:00:00,2026-06-13,20,1,school_lag_168h_kwh,1주 전 같은시간 사용량,-344.2213912648699,2575.44,down
2026-06-13 20:00:00,2026-06-13,20,2,day_of_week,요일,-156.9102298621271,5.0,down
2026-06-13 20:00:00,2026-06-13,20,3,dow_sin,요일 주기(sin),-138.62191649329344,-0.9749279121818236,down
2026-06-13 20:00:00,2026-06-13,20,4,weather_temp_mean_c,평균기온,-50.38144185154223,23.5,down
2026-06-13 20:00:00,2026-06-13,20,5,weather_temp_max_c,최고기온,-41.2771008761935,29.0,down
2026-06-13 21:00:00,2026-06-13,21,1,school_lag_168h_kwh,1주 전 같은시간 사용량,-371.1149963932205,2478.96,down
2026-06-13 21:00:00,2026-06-13,21,2,day_of_week,요일,-135.1410693652995,5.0,down
2026-06-13 21:00:00,2026-06-13,21,3,dow_sin,요일 주기(sin),-121.7015369552512,-0.9749279121818236,down
2026-06-13 21:00:00,2026-06-13,21,4,school_lag_24h_kwh,24시간 전 사용량,-65.44833938061929,2870.64,down
2026-06-13 21:00:00,2026-06-13,21,5,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-55.02888592165606,2816.64,down
2026-06-15 08:00:00,2026-06-15,8,1,school_lag_24h_kwh,24시간 전 사용량,-443.39158296475176,2204.64,down
2026-06-15 08:00:00,2026-06-15,8,2,day_of_week,요일,287.20994358105935,0.0,up
2026-06-15 08:00:00,2026-06-15,8,3,school_same_hour_7d_mean_kwh,최근 7일 같은시간 평균,-117.4089299277011,2779.3028571428576,down
2026-06-15 08:00:00,2026-06-15,8,4,school_lag_168h_kwh,1주 전 같은시간 사용량,-112.15652056808628,3052.8,down
