metric_level,prediction_method,building_name_recent,n_days,actual_sum_kwh_clean,pred_sum_kwh,mae_kwh,rmse_kwh,mape,bias_kwh_mean,bias_pct_sum,report_month
building_month,baseline_uniform_daily_kwh,섬유관,30.0,34658.0,34226.50000000001,160.4744444444444,193.36789418101444,0.14445759990669535,-14.383333333333228,-0.012450227941600575,2026-04
building_month,baseline_uniform_daily_kwh,섬유관,31.0,32836.0,30907.999999999993,183.44849115504684,207.0311321956942,0.1702781367154849,-62.193548387096804,-0.058716043367036404,2026-05
building_month,baseline_uniform_daily_kwh,섬유관,23.0,26022.0,25073.06666666668,199.78550724637677,222.49030679640288,0.18986122118304347,-41.25797101449265,-0.03646657956088386,2026-06
building_month,baseline_uniform_daily_kwh,외국어교육원,30.0,15510.0,13699.999999999996,142.68888888888887,151.99312849965,0.3015963158407277,-60.3333333333333,-0.11669890393294673,2026-04
building_month,baseline_uniform_daily_kwh,외국어교육원,31.0,13131.0,12650.0,151.3766909469303,154.75212296752264,0.4277441197131431,-15.51612903225807,-0.03663087350544513,2026-05
building_month,baseline_uniform_daily_kwh,외국어교육원,23.0,9901.0,9315.0,125.30434782608695,130.83943030195115,0.3301739028689846,-25.47826086956522,-0.05918594081405919,2026-06
building_month,baseline_uniform_daily_kwh,음대,30.0,18195.0,19500.0,70.5,90.57096665046697,0.13026695932362656,43.5,0.0717230008244023,2026-04
building_month,baseline_uniform_daily_kwh,음대,31.0,18899.0,17499.999999999996,94.62539021852237,117.8750860025309,0.15128710364853085,-45.129032258064534,-0.0740250806921003,2026-05
building_month,baseline_uniform_daily_kwh,음대,23.0,13810.0,14950.0,88.52173913043478,115.58057607235479,0.1711947244771296,49.56521739130435,0.08254887762490949,2026-06
building_month,baseline_uniform_daily_kwh,인문계식당,30.0,10552.0,7449.999999999998,137.37777777777777,151.32488963228167,0.3785264578797063,-103.39999999999996,-0.2939727065959062,2026-04
building_month,baseline_uniform_daily_kwh,인문계식당,31.0,11582.0,7650.000000000002,174.19771071800207,211.58748372110713,0.419289107583188,-126.83870967741933,-0.33949231566223437,2026-05
building_month,baseline_uniform_daily_kwh,인문계식당,23.0,11392.0,8318.333333333336,228.91304347826087,240.48705610612262,0.5205711795903322,-133.6376811594203,-0.2698092228464417,2026-06
building_month,baseline_uniform_daily_kwh,전기관,30.0,35563.33333333333,32107.5,184.34444444444443,210.97594393615847,0.15252216965831894,-115.19444444444443,-0.0971740556753209,2026-04
building_month,baseline_uniform_daily_kwh,전기관,31.0,34766.0,30776.999999999985,216.85015608740898,246.00681656841743,0.1855136310324047,-128.67741935483872,-0.11473853765172912,2026-05
building_month,baseline_uniform_daily_kwh,전기관,23.0,25576.0,23918.083333333343,208.21376811594197,276.38317444873064,0.5676294930942529,-72.08333333333326,-0.06482314148681018,2026-06
building_month,baseline_uniform_daily_kwh,제1공장형실습장,30.0,20426.0,22500.0,77.73333333333333,105.35685391405093,0.12917728409971085,69.13333333333334,0.1015372564378733,2026-04
building_month,baseline_uniform_daily_kwh,제1공장형실습장,31.0,24361.0,21999.99999999999,143.56607700312176,172.80298309850426,0.17806579099123568,-76.16129032258071,-0.09691720372726945,2026-05
building_month,baseline_uniform_daily_kwh,제1공장형실습장,23.0,20615.0,21083.33333333334,125.31884057971013,152.68911612677203,0.15404273251202832,20.362318840579672,0.022718085536421993,2026-06
building_month,baseline_uniform_daily_kwh,제1과학관,30.0,78973.75,79170.49999999999,253.27499999999995,365.36886888078226,0.10301164822510199,6.558333333333516,0.0024913341458394143,2026-04
building_month,baseline_uniform_daily_kwh,제1과학관,31.0,79822.0,76337.0,377.14776274713836,411.67024704208075,0.14519612044380098,-112.41935483870967,-0.04365964270501867,2026-05
building_month,baseline_uniform_daily_kwh,제1과학관,23.0,64070.681818181816,66586.15000000002,398.62035573122523,600.0544523912235,0.28406604405496244,109.36818181818201,0.039260830545810955,2026-06
building_month,baseline_uniform_daily_kwh,제2공장형실습장,30.0,13223.0,11950.000000000004,129.96666666666667,148.27463257977297,0.33951804997355234,-42.43333333333336,-0.09627164788625851,2026-04
building_month,baseline_uniform_daily_kwh,제2공장형실습장,31.0,12933.0,10890.000000000005,170.40478668054112,186.42296074079275,0.44180621694669103,-65.90322580645157,-0.157967988865692,2026-05
building_month,baseline_uniform_daily_kwh,제2공장형실습장,23.0,9626.0,8548.333333333336,115.84057971014491,135.80803089669863,0.2896121801619104,-46.85507246376808,-0.11195373640833828,2026-06
building_month,baseline_uniform_daily_kwh,제2인문관,30.0,8177.0,9184.999999999998,53.18888888888891,63.64332032682004,0.22295585372189503,33.60000000000003,0.12327259386082894,2026-04
building_month,baseline_uniform_daily_kwh,제2인문관,31.0,7547.0,7623.499999999997,45.196149843912586,56.77131820064894,0.20444431017367132,2.467741935483859,0.01013647807075623,2026-05
building_month,baseline_uniform_daily_kwh,제2인문관,23.0,6214.0,6726.3499999999985,37.75,50.17467640328049,0.1644200983436328,22.276086956521727,0.08245091728355303,2026-06
building_month,baseline_uniform_daily_kwh,제3과학관,30.0,26300.0,27500.000000000007,124.5333333333333,149.5988710593172,0.15039680331967156,39.99999999999996,0.04562737642585579,2026-04
building_month,baseline_uniform_daily_kwh,제3과학관,31.0,24978.0,24000.000000000015,151.40062434963582,204.50682282683462,0.1968380207016206,-31.548387096774142,-0.039154455921210085,2026-05
