date,report_month,year,month,day,selection_tier,building_name_recent,building_name_long_term,usage_kwh_raw,usage_kwh,usage_kwh_clean,usage_kwh_imputed_continuous,cleaning_action,was_imputed_in_clean,is_original_value_reliable,is_validation_target_strict,is_validation_target_clean,is_continuity_only,is_placeholder_zero,is_partial_day,is_known_extreme_outlier,is_suspect_zero,is_auto_high_outlier,replacement_value_kwh,replacement_source_day_count,replacement_mean_kwh,replacement_median_kwh,positive_count,positive_median_kwh,positive_mean_kwh,positive_q1_kwh,positive_q3_kwh,positive_iqr_kwh,mapping_confidence,review_required,duplicate_group,zero_rate_recent,source_file,source_section,source_row_index_1based,profile_month_num,profile_monthly_kwh_mean,profile_monthly_kwh_median,profile_monthly_kwh_std,profile_monthly_kwh_min,profile_monthly_kwh_max,profile_source_month_count,profile_source_months,overall_avg_monthly_kwh,month_factor_vs_overall,calendar_days_in_month,baseline_uniform_daily_kwh,school_total_daily_kwh,school_total_is_usable,school_total_observed_month_sum_kwh,school_total_observed_day_count,school_total_month_observed_completeness,school_total_day_weight_observed_month,baseline_school_shape_kwh_observed_norm,validation_period
2026-04-30,2026-04,2026,4,30,primary_reliable,건축관,공대건축관,1065,1065.0,1065.0,1065.0,raw_kept,False,True,True,True,False,False,False,False,False,False,897.6,30,897.6,860.5,30,860.5,897.6,711.5,1089.0,377.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",4월데이터,66,4,24703.5,24703.5,662.559053971795,24235.0,25172.0,2,"2024-04,2025-04",32525.423076923078,0.7595135639458365,30,823.45,64007.28,True,1863198.0,30,1.0,0.034353450357932976,848.6504609171973,validation_observed_window
2026-05-01,2026-05,2026,5,1,primary_reliable,건축관,공대건축관,612,612.0,612.0,612.0,raw_kept,False,True,True,True,False,False,False,False,False,False,995.8387096774194,31,995.8387096774194,989.0,31,989.0,995.8387096774194,779.0,1182.5,403.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",5월데이터,71,5,25632.0,25632.0,584.0702012600883,25219.0,26045.0,2,"2024-05,2025-05",32525.423076923078,0.7880604639447721,31,826.8387096774194,48719.52,True,1939290.48,31,1.0,0.02512234268277334,643.9358876448463,validation_observed_window
2026-05-02,2026-05,2026,5,2,primary_reliable,건축관,공대건축관,597,597.0,597.0,597.0,raw_kept,False,True,True,True,False,False,False,False,False,False,995.8387096774194,31,995.8387096774194,989.0,31,989.0,995.8387096774194,779.0,1182.5,403.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",5월데이터,72,5,25632.0,25632.0,584.0702012600883,25219.0,26045.0,2,"2024-05,2025-05",32525.423076923078,0.7880604639447721,31,826.8387096774194,47396.16,True,1939290.48,31,1.0,0.024439948779617585,626.444767119158,validation_observed_window
2026-05-03,2026-05,2026,5,3,primary_reliable,건축관,공대건축관,750,750.0,750.0,750.0,raw_kept,False,True,True,True,False,False,False,False,False,False,995.8387096774194,31,995.8387096774194,989.0,31,989.0,995.8387096774194,779.0,1182.5,403.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",5월데이터,73,5,25632.0,25632.0,584.0702012600883,25219.0,26045.0,2,"2024-05,2025-05",32525.423076923078,0.7880604639447721,31,826.8387096774194,48877.2,True,1939290.48,31,1.0,0.025203650770254903,646.0199765431737,validation_observed_window
2026-05-04,2026-05,2026,5,4,primary_reliable,건축관,공대건축관,1024,1024.0,1024.0,1024.0,raw_kept,False,True,True,True,False,False,False,False,False,False,995.8387096774194,31,995.8387096774194,989.0,31,989.0,995.8387096774194,779.0,1182.5,403.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",5월데이터,74,5,25632.0,25632.0,584.0702012600883,25219.0,26045.0,2,"2024-05,2025-05",32525.423076923078,0.7880604639447721,31,826.8387096774194,62319.6,True,1939290.48,31,1.0,0.03213525804550951,823.6909342224998,validation_observed_window
2026-05-05,2026-05,2026,5,5,primary_reliable,건축관,공대건축관,651,651.0,651.0,651.0,raw_kept,False,True,True,True,False,False,False,False,False,False,995.8387096774194,31,995.8387096774194,989.0,31,989.0,995.8387096774194,779.0,1182.5,403.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",5월데이터,75,5,25632.0,25632.0,584.0702012600883,25219.0,26045.0,2,"2024-05,2025-05",32525.423076923078,0.7880604639447721,31,826.8387096774194,48250.08,True,1939290.48,31,1.0,0.024880274769357915,637.7312028881821,validation_observed_window
2026-05-06,2026-05,2026,5,6,primary_reliable,건축관,공대건축관,968,968.0,968.0,968.0,raw_kept,False,True,True,True,False,False,False,False,False,False,995.8387096774194,31,995.8387096774194,989.0,31,989.0,995.8387096774194,779.0,1182.5,403.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",5월데이터,76,5,25632.0,25632.0,584.0702012600883,25219.0,26045.0,2,"2024-05,2025-05",32525.423076923078,0.7880604639447721,31,826.8387096774194,63205.2,True,1939290.48,31,1.0,0.032591919906707324,835.3960910487222,validation_observed_window
2026-05-07,2026-05,2026,5,7,primary_reliable,건축관,공대건축관,1178,1178.0,1178.0,1178.0,raw_kept,False,True,True,True,False,False,False,False,False,False,995.8387096774194,31,995.8387096774194,989.0,31,989.0,995.8387096774194,779.0,1182.5,403.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",5월데이터,77,5,25632.0,25632.0,584.0702012600883,25219.0,26045.0,2,"2024-05,2025-05",32525.423076923078,0.7880604639447721,31,826.8387096774194,66040.56,True,1939290.48,31,1.0,0.034053980402152025,872.8716256679606,validation_observed_window
2026-05-08,2026-05,2026,5,8,primary_reliable,건축관,공대건축관,865,865.0,865.0,865.0,raw_kept,False,True,True,True,False,False,False,False,False,False,995.8387096774194,31,995.8387096774194,989.0,31,989.0,995.8387096774194,779.0,1182.5,403.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",5월데이터,78,5,25632.0,25632.0,584.0702012600883,25219.0,26045.0,2,"2024-05,2025-05",32525.423076923078,0.7880604639447721,31,826.8387096774194,62210.88,True,1939290.48,31,1.0,0.03207919630482588,822.2539596852969,validation_observed_window
2026-05-09,2026-05,2026,5,9,primary_reliable,건축관,공대건축관,653,653.0,653.0,653.0,raw_kept,False,True,True,True,False,False,False,False,False,False,995.8387096774194,31,995.8387096774194,989.0,31,989.0,995.8387096774194,779.0,1182.5,403.5,high,False,,0.0,"올해 전력사용량 최종취합본(누적, 4~6월).xlsx",5월데이터,79,5,25632.0,25632.0,584.0702012600883,25219.0,26045.0,2,"2024-05,2025-05",32525.423076923078,0.7880604639447721,31,826.8387096774194,47580.48,True,1939290.48,31,1.0,0.024534993849915667,628.8809623610384,validation_observed_window
